Nº,ESPECIALIDAD,ATENCIONES
01,MEDICINA INTERNA,613
02,CARDIOLOGÍA,484
03,NEUMONOLOGÍA,359
04,PSICOLOGÍA Y PSIQUITRÍA,282
,,
06,DERMATOLOGÍA,633
07,ODONTOLOGÍA,1086
08,ENDOCRINOLOGÍA,231
09,TRAUMATOLOGÍA,561
10,CIRUGÍA GENERAL,317
11,CIRUGÍA PEDIÁTRICA,203
12,ORL,629
13,NEUROLOGÍA,347
14,OFTALMOLOGÍA,2302
15,UROLOGÍA,445
16,GASTROENTEROLOGÍA,353
17,GINECOLOGÍA Y OBSTETRICIA,316
18,PEDIATRÍA,875
,,
,,
21,CARDIOLOGÍA PEDIÁTRICA,123
22,NUTRICIÓN Y DIETÉTICA ,255
23,NEUMOLOGÍA PEDIÁTRICA ,97
24,CIRUGÍA DE LA MANO,128
