Nº,ESPECIALIDAD,ATENCIONES
01,MEDICINA INTERNA,138
02,CARDIOLOGÍA,126
03,NEUMONOLOGÍA ADULTO,79
04,PSICOLOGÍA Y PSIQUIATRÍA,67
06,DERMATOLOGÍA,210
07,ODONTOLOGÍA,226
08,ENDOCRINOLOGÍA,47
09,TRAUMATOLOGÍA,185
10,CIRUGÍA GENERAL,62
11,CIRUGÍA PEDIÁTRICA,33
12,ORL,121
13,NEUROLOGÍA,94
14,OFTALMOLOGÍA,243
15,UROLOGÍA,97
16,GASTROENTEROLOGÍA,79
17,GINECOLOGÍA Y OBSTETRICIA,93
18,PEDIATRÍA,157
20,NEUROLOGÍA PEDIÁTRICA,58
25,CARDIOLOGÍA PEDIÁTRICA,25
26,CIRURIGÍA DE MANO,71
27,NEUMONOLOGÍA PEDIÁTRICA,12
