Nº,ESPECIALIDAD,ATENCIONES
01,MEDICINA INTERNA ,15
02,CARDIOLOGÍA ,11
03,NEUMONOLOGÍA ,03
04,PEDIATRÍA ,15
05,PSICOLOGÍA Y PSIQUIATRÍA ,03
06,NUTRICIÓN Y DIETÉTICA ,12
07,TRAUMATOLOGÍA ,21
08,NEUROLOGÍA ,09
09,NEUROCIRUGÍA ,08
10,ENDOCRINOLOGÍA ,06
11,OFTALMOLOGÍA,12
12,OTORRINOLARINGOLOGÍA,10
13,MEDICINA GENERAL ,21
14,DERMATOLOGÍA ,32
15,CARDIOLOGÍA INFANTIL ,05
16,UROLOGÍA ,19
17,GASTROENTEROLOGÍA ,10
18,GINECOLOGÍA Y OBSTETRICIA,10
19,ODONTOLOGÍA,20
20,CIRUGÍA DE LA MANO,12
21,CIRUGÍA GENERAL ,10
