Nº,NOMBRE,ATENCIONES
01,HOSPITAL DR. EUDORO GOZALEZ,4736
02,C.D.I JACINTO CONVIT,3856
03,CLÍNICA POPULAR ALFREDO MACHADO,3731
04,C.D.I LA ATLANTIDA,2359
05,HOSPITAL DR. MARTIN VEGAS,2331
06,C.D.I GUARACARUMBO,3096
07,C.D.I 10 DE MARZO,861
08,HOSPITAL DR. RAFAEL M. JIMÉNEZ,11114
09,C.D.I JOSÉ MARÍA VARGAS,656
10,AMB.  SANIDAD LA GUAIRA,2333
11,HOSPITAL DR. JOSÉ MARÍA VARGAS IVSS,7841
12,HOSPITAL MATERNO INFANTIL ,2087
13,AMB. CENTRO INTEGRAL DE SALUD,1895
14,AMB. CARLOS SOUBLETT,1351
15,AMB. HOSPITAL DE EMEREGENCIAS,3502
16,HOSPITAL JOSÉ MARÍA ESPAÑA,10
17,C.D.I JOSÉ ÁNGEL RIVAS,142
18,AMB. DE ANARE,147
